lot_id,station_id,num_cells,avg_final_soh,avg_capacity_fade_rate,avg_resistance_growth_rate,escalation_rate,early_degradation_rate,thermal_anomaly_rate,impedance_spike_rate
LOT-007,ST-01,3,0.8728,0.00027,0.001546,0.0,0.0,0.0,0.0
LOT-007,ST-02,1,0.8573,0.000506,0.002223,1.0,1.0,0.0,0.0
LOT-007,ST-03,2,0.9082,0.000298,0.002258,0.0,0.0,0.0,0.0
LOT-007,ST-04,2,0.8543,0.000298,0.002038,0.0,0.0,0.5,0.0
LOT-007,ST-06,2,0.8723,0.000312,0.0017,0.5,0.5,0.5,0.0
LOT-007,ST-07,2,0.866,0.000286,0.001663,0.0,0.0,0.5,0.0
LOT-008,ST-01,2,0.8213,0.000321,0.002276,0.0,0.0,0.0,0.0
LOT-008,ST-04,4,0.8327,0.000466,0.003511,0.5,0.5,0.75,0.0
LOT-008,ST-05,1,0.8125,0.000642,0.003696,1.0,1.0,1.0,0.0
LOT-008,ST-06,1,0.8516,0.000314,0.002162,0.0,0.0,0.0,0.0
LOT-009,ST-01,1,0.7741,0.000395,0.003068,0.0,0.0,0.0,0.0
LOT-009,ST-02,2,0.7493,0.000509,0.003026,0.5,0.5,0.0,0.0
LOT-009,ST-03,2,0.8118,0.000396,0.002231,0.0,0.0,0.0,0.0
LOT-009,ST-05,2,0.7944,0.000532,0.004328,0.5,0.5,0.5,0.0
LOT-009,ST-08,3,0.6902,0.000635,0.005262,0.6667,0.6667,0.3333,0.0
LOT-010,ST-01,3,0.817,0.000388,0.002098,0.6667,0.6667,0.6667,0.0
LOT-010,ST-02,1,0.7718,0.000416,0.003684,0.0,0.0,0.0,0.0
LOT-010,ST-03,2,0.7677,0.00043,0.003339,1.0,1.0,1.0,0.0
LOT-010,ST-04,1,0.8921,0.000405,0.00329,0.0,0.0,1.0,0.0
LOT-010,ST-05,1,0.7994,0.00035,0.003653,0.0,0.0,0.0,0.0
LOT-010,ST-06,6,0.8562,0.000333,0.001904,0.3333,0.3333,0.3333,0.0
LOT-010,ST-07,3,0.8868,0.000335,0.00258,0.0,0.0,1.0,0.0
LOT-010,ST-08,1,0.7932,0.000335,0.002054,0.0,0.0,0.0,0.0
LOT-011,ST-02,1,0.7389,0.000456,0.004109,1.0,1.0,0.0,0.0
LOT-011,ST-03,1,0.8123,0.000411,0.001937,0.0,0.0,0.0,0.0
LOT-011,ST-05,1,0.899,0.000225,0.0017,0.0,0.0,0.0,0.0
LOT-011,ST-06,2,0.8296,0.000309,0.001657,0.0,0.0,0.0,0.0
LOT-011,ST-07,1,0.6908,0.000494,0.002898,1.0,1.0,1.0,0.0
LOT-012,ST-02,1,0.8656,0.000406,0.003676,0.0,0.0,0.0,0.0
LOT-012,ST-03,2,0.8441,0.000361,0.002325,0.0,0.0,0.0,0.0
LOT-012,ST-06,1,0.9251,0.000233,0.001154,0.0,0.0,0.0,0.0
LOT-012,ST-07,1,0.8812,0.000191,0.001325,0.0,0.0,1.0,0.0
LOT-012,ST-08,2,0.8779,0.000321,0.003491,0.0,0.0,0.0,0.5
